iter	Passed	Remaining
627	2694	1595
628	2698	1591
629	2702	1586
630	2705	1582
631	2709	1577
632	2713	1573
633	2717	1568
634	2721	1564
635	2725	1559
636	2728	1555
637	2732	1550
638	2736	1545
639	2740	1541
640	2744	1536
641	2748	1532
642	2751	1527
643	2755	1523
644	2760	1519
645	2764	1514
646	2768	1510
647	2772	1505
648	2775	1501
649	2780	1497
650	2784	1492
651	2787	1488
652	2791	1483
653	2795	1479
654	2799	1474
655	2803	1470
656	2807	1465
657	2811	1461
658	2814	1456
659	2826	1456
660	2830	1451
661	2834	1447
662	2839	1443
663	2843	1438
664	2847	1434
665	2851	1429
666	2855	1425
667	2859	1421
668	2863	1416
669	2867	1412
670	2871	1407
671	2875	1403
672	2879	1399
673	2883	1394
674	2887	1390
675	2891	1385
676	2896	1381
677	2900	1377
678	2904	1372
679	2908	1368
680	2911	1364
681	2916	1359
682	2919	1355
683	2923	1350
684	2927	1346
685	2931	1341
686	2935	1337
687	2939	1332
688	2943	1328
689	2947	1324
690	2950	1319
691	2955	1315
692	2959	1311
693	2963	1306
694	2967	1302
695	2971	1297
696	2975	1293
697	2979	1289
698	2983	1284
699	2987	1280
700	2991	1275
701	2995	1271
702	2998	1266
703	3002	1262
704	3006	1258
705	3010	1253
706	3015	1249
707	3019	1245
708	3023	1240
709	3026	1236
710	3030	1231
711	3034	1227
712	3038	1223
713	3042	1218
714	3046	1214
715	3049	1209
716	3054	1205
717	3058	1201
718	3062	1196
719	3066	1192
720	3070	1188
721	3073	1183
722	3077	1179
723	3081	1174
724	3085	1170
725	3089	1165
726	3093	1161
727	3097	1157
728	3101	1153
729	3105	1148
730	3109	1144
731	3113	1139
732	3117	1135
733	3121	1131
734	3124	1126
735	3128	1122
736	3132	1117
737	3136	1113
738	3140	1109
739	3144	1104
740	3148	1100
741	3152	1096
742	3156	1091
743	3159	1087
744	3163	1082
745	3167	1078
746	3171	1074
747	3175	1069
748	3179	1065
749	3183	1061
750	3187	1056
751	3191	1052
752	3195	1048
753	3199	1043
754	3203	1039
755	3207	1035
756	3211	1030
757	3215	1026
758	3219	1022
759	3223	1017
760	3227	1013
761	3231	1009
762	3235	1005
763	3240	1000
764	3244	996
765	3247	992
766	3251	987
767	3255	983
768	3259	979
769	3263	974
770	3267	970
771	3271	966
772	3275	961
773	3279	957
774	3283	953
775	3287	949
776	3291	944
777	3295	940
778	3300	936
779	3304	931
780	3307	927
781	3311	923
782	3315	918
783	3319	914
784	3323	910
785	3327	905
786	3331	901
787	3335	897
788	3339	892
789	3343	888
790	3346	884
791	3350	880
792	3354	875
793	3358	871
794	3362	867
795	3366	862
796	3370	858
797	3374	854
798	3378	849
799	3382	845
800	3385	841
801	3389	836
802	3393	832
803	3397	828
804	3401	823
805	3405	819
806	3409	815
807	3413	811
808	3416	806
809	3420	802
810	3424	798
811	3428	793
812	3432	789
813	3436	785
814	3439	780
815	3443	776
816	3447	772
817	3451	767
818	3455	763
819	3459	759
820	3463	755
821	3467	750
822	3471	746
823	3475	742
824	3479	738
825	3483	733
826	3487	729
827	3491	725
828	3495	721
829	3499	716
830	3503	712
831	3507	708
832	3511	703
833	3517	700
834	3521	695
835	3525	691
836	3529	687
837	3533	683
838	3537	678
839	3541	674
840	3545	670
841	3549	665
842	3553	661
843	3556	657
